KO,ENG,JPN
군산 해망굴,Gunsan Haemanggul Tunnel,群山海望窟
군산근대건축관,Gunsan Modern Architecture Exhibition Hall,群山近代建築館
금강,Geumgang River,錦江
손누리이야기,Sonnuri Story,ソンヌリイヤギ
경산공원,Gyeongsan Park,景山公園
버드내공원,Beodenae Park,ポドゥネ公園
쇠내울소공,Soenaewool Sogong,スェネウルソゴン
영운 작은공원,Youngun Small Park,霊雲小公園
중흥공원,Jungheung Park,中興公園
당산공원,Dangsan Park,タンサン公園
수암골전망대,Suamgol Jeonmangdae,寿岩コル展望台
배티공원,Baeti Park,ベティ公園
복대공원,Bokdae Park,福台公園
풍년골공원,Poongnyeongol Park,豊年コル公園
천변공원,Cheonbyeon Park,川辺公園
한울공원,Hanul Park,ハヌル公園
감나무실공원,Gamnamusil Park,カムナムシル公園
경주동궁원,Gyeongju East Palace Garden,慶州東宮園
꽃재공원,Kkotjae Garden,コッジェ公園
청수1공원,Cheongsu 1 Park,清水1公園
옥봉성당,Okbong Cathedral,玉峰カトリック教会
땅끝마을,Ttangkkeut Village,タンクッマウル
갈목도,Galmokdo Island,カルモク島
강덕사,Gangdeoksa Temple,康徳寺
강진만,Gangjinman Bay,康津湾
강진 백련사 동백나무 숲,Gangjin Baeknyeonsa Camellia Forest,康津白蓮寺トンベッナムスプ
강진 병영마을 돌담길,Gangjin Byeongyeong Village Doldam Alley,康津 兵営マウル トルダンギル
거문도,Geomundo Island,巨文島
거문도 등대,Geomundo Island Lighthouse,巨文島灯台
겸면목화공원,Gyeommyeon Cotton Park,兼面木花公園
고금도,Gogeumdo Island,古今島
고마리마을,Gomari Village,叩馬里マウル
고천암 자연생태공원,Gocheonam Jayeonsaengtae Park,庫千岩自然生態公園
고천암호,Gocheonamho Lake,庫千岩湖
고하도선착장,Gohado Island Quay,高下島船着場
고흥 신기거북이마을,Goheung Singigeobugi Village,高興シンギカメマウル
고흥 유자공원,Goheung Yuja Park,高興ゆず公園
고흥 해창만 간척지 공원,Goheung Haechang Bay Gancheokji Park,高興海倉湾干拓地公園
곡성 함허정,Gokseong Hamheo pavilion,谷城涵虚亭
광주호,Kwangjuho Lake,光州湖
구례구역 전라선,Guryegu Station Jeolla Line,求礼口駅全羅線
구례편백나무숲,Gurye Cypress Forest,求礼ピョンベクナムスプ
구례화엄사,Gurye Hwaeom Temple,求礼華岩寺
국동항,Kukdong Port,菊洞港
국동항 수변공원,Gukdong Port Waterside Park,菊洞港水辺公園
국립나주박물관 야외체험장,Naju National Museum Outdoor Experience Center,国立羅州博物館野外体験場
규봉암,Gyubong Temple,圭峰庵
금갑해변,Geumgap Beach,金甲海辺
금곡해수욕장,Geumgok Beach,金谷海水浴場
금당도,Geumdang Island,金塘島
금오도,Geumodo Island,金鰲島
금장해수욕장,Geumjang Beach,金蔵海水浴場
금탑사,Geumtap Temple,金塔寺
기차마을레일바이크,Train Village Rail Bike,汽車マウルレールバイク
나로도항,Narodo Port,羅老島港
나로우주해수욕장,Narouju Beach,羅老宇宙海水浴場
나주장어음식의거리,Naju Eel Food Street,羅州チャンオウムシゲコリ
나주남평은행나무길,Naju Nampyeong Ginkgo Tree Road,羅州南平ウンヘンナムギル
나주 영산나루마을,Naju Yeongsannaru Village,羅州栄山ナルマウル
나주철도공원,Naju Railway Park,羅州鉄道公園
나주호,Najuho Lake,羅州湖
나진피서지,Najin Summer Resort,羅陳避暑地
낙안돌탑공원,Nakan Doltap Park,楽安石塔公園
낙안민속자연휴양림,Nakan Minsok Natural Recreation Forest,楽安民俗自然休養林
낙안온천,Nakan Hot Springs,楽安温泉
남고문,Namgomun Gate,南顧門
남미륵사,Nammireuk Temple,南弥勒寺
남성어촌체험마을,Namseong Fishing Village,南星漁村体験マウル
남희정,Namhuijeong,南喜亭
내나로도,Naenarodo Island,内羅老島
녹동항,Nokdong Port,鹿洞港
농업기술센터 자연생태학습장,Agricultural Technology Center Ecology Experience Center,農業技術センター自然生態学習場
농평마을,Nongpyeong Village,農平マウル
느러지전망관람대,Neurge Observatory,ヌロジ展望観覧台
능가사,Neungga Temple,楞伽寺
다도해해상국립공원,Dadohae Marine National Park,多島海海上国立公園
달맞이공원,Dalmaji Park,タルマジ公園
달성사,Dalseong Temple,達聖寺
담양국수거리,Damyang Guksu Street,潭陽ククスコリ
담양댐인증센터,Damyang Dam Certification Center,潭陽テム認証センター
도래수마을,Doraesu Village,トレスマウル
담양온천,Damyang Hot Springs,潭陽温泉
담양호,Damyangho Lake,潭陽湖
담양 명옥헌 원림,Damyang Myeongokheon Garden,潭陽鳴玉軒苑林
담정관광농원,Damjeong Farm,タムジョン観光農園
